feature_symbol,tier,in_core_spec,in_runtime_code,core_source_kinds,runtime_groups,runtime_first_evidence,runtime_test_presence,lean_status,lean_evidence,lean_decl_anchor,coverage_status
subtraction,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:654,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atomspace.lean:208:/-- Difference of atomspaces (multiset subtraction) -/,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Atomspace.lean:203:def inter,extension_mapped_in_lean
subtraction-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1410,no,absent,,,extension_runtime_only
superpose,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1192,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/TranslateExpr.lean:83:  | .apply ""superpose"" [.collection _ alts _] =>",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/PeTTa/TranslateExpr.lean:74:def compileExpr,extension_mapped_in_lean
superpose-bind,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:44,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:205:def superposeBind,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/MinimalOps.lean:205:def superposeBind,core_implemented
switch,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:339,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:342:          if op == .symbol ""switch"" || op == .symbol ""switch-minimal"" then",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:307:def mettaCall,extension_mapped_in_lean
switch-internal,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:355,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:357:          else if op == .symbol ""switch-internal"" then",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Interpreter.lean:307:def mettaCall,extension_mapped_in_lean
switch-minimal,extension,no,yes,,stdlib_decl;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:349,yes,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Conformance.lean:387:    testEval (.expression [.symbol ""switch-minimal"", .symbol ""a"",",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/Conformance.lean:386:theorem extension_switch_minimal_first_match,extension_mapped_in_lean
tan-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:210,no,absent,,,extension_runtime_only
trace!,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1272,no,absent,,,extension_runtime_only
trunc-math,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:162,no,absent,,,extension_runtime_only
type-cast,extension,no,yes,,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:387,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:152:      syntaxPattern := [.terminal ""type-cast"", .terminal ""("", .nonTerminal ""atom"",",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/HELanguageDef.lean:88:def mettaHE,extension_mapped_in_lean
type_cast,core,yes,no,algorithm_name,,,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:126:def typeCast,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/HE/TypeCheck.lean:126:def typeCast,core_implemented
undefined-doc-function-type,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:830,no,absent,,,extension_runtime_only
unify,core,yes,yes,minimal_instruction,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:38,yes,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/FullLanguageDef.lean:29:def mettaFull,core_implemented
union,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:632,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Pure/Confluence.lean:178:        exact .step (hBs x (fun h => hx (Finset.mem_union_left _ h))),/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Pure/Confluence.lean:157:theorem reduceStar_pi_decomp_aux,extension_mapped_in_lean
union-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1396,no,absent,,,extension_runtime_only
unique,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:624,no,present,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Properties.lean:206:/-- Grounded operations produce unique results (confluence at grounded level) -/,/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Properties.lean:200:theorem value_joinable_self,extension_mapped_in_lean
unique-atom,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1390,no,absent,,,extension_runtime_only
unquote,extension,no,yes,,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:600,no,absent,,,extension_runtime_only
xor,extension,no,yes,,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1383,no,present,"/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Premises.lean:652:      | .apply ""xor"" [], some b1, some b2 => [[op, lhs, rhs, patternOfBoolSym (b1 != b2)]]",/home/zar/claude/lean-projects/mettapedia/Mettapedia/Languages/MeTTa/Core/Premises.lean:643:def groundedCallTuples,extension_mapped_in_lean
