symbol,groups,first_evidence,evidence_count,in_core_spec
get-value,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:1,3,no
git-module!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1417,1,no
help!,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:877,5,no
help-internal!,stdlib_decl;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:891,4,no
help-param!,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:935,3,no
help-space!,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:918,4,no
id,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:257,3,no
if,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:504,4,no
if-decons-expr,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:284,3,no
if-equal,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:999,1,no
if-error,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:300,3,no
import!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1252,1,no
include,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1259,1,no
index-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:129,1,no
intersection,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:643,3,no
intersection-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1403,1,no
is-function,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:371,3,no
isinf-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:228,1,no
isnan-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:222,1,no
json-decode,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:37,1,no
json-encode,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/json.metta:31,1,no
let,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:535,3,no
let*,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:546,3,no
log-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:155,1,no
map-atom,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:467,3,no
match,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1050,1,no
match-type-or,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:435,2,no
match-types,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:405,2,no
max-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:117,1,no
metta,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:46,3,yes
min-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:111,1,no
mod-space!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1064,1,no
module-space-no-deps,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1070,1,no
new-das!,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:1,1,no
new-random-generator,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:24,1,no
new-space,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1008,1,no
new-state,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1026,3,no
noeval,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:265,3,no
nop,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:610,3,no
noreduce-eq,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:960,3,no
not,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:529,1,no
or,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:515,1,no
pow-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:136,1,no
pragma!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1241,1,no
print-mods!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1076,1,no
println!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1279,1,no
quote,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:592,3,no
random-float,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:9,1,no
random-int,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:1,1,no
register-module!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1058,1,no
remove-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1013,1,no
reset-random-generator,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:30,1,no
return,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:42,3,yes
return-on-error,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:319,3,no
round-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:180,1,no
sealed,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1298,1,no
set-random-seed,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:17,1,no
sin-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:186,1,no
size-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:123,1,no
skel-swap-pair,builtin_mods_decl;builtin_mods_doc;builtin_mods_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/skel.metta:4,3,no
skel-swap-pair-native,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/skel.metta:13,1,no
sort-strings,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1292,1,no
sqrt-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:143,1,no
subtraction,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:654,3,no
subtraction-atom,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1410,1,no
superpose,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1192,1,no
superpose-bind,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:44,3,yes
switch,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:339,3,no
switch-internal,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:355,3,no
switch-minimal,stdlib_decl;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:349,2,no
tan-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:210,1,no
trace!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1272,1,no
trunc-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:162,1,no
type-cast,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:387,2,no
undefined-doc-function-type,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:830,3,no
unify,engine_const;stdlib_decl;stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/mod.rs:38,3,yes
