symbol,groups,first_evidence,evidence_count
module-space-no-deps,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1070,1
new-das!,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/das.metta:1,1
new-random-generator,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:24,1
new-space,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1008,1
new-state,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1026,3
noeval,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:265,3
nop,stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:610,3
noreduce-eq,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:960,3
not,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:529,1
or,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:515,1
pow-math,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:136,1
pragma!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1241,1
print-mods!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1076,1
println!,stdlib_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:1279,1
quote,stdlib_decl;stdlib_doc;stdlib_eq,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/stdlib/stdlib.metta:592,3
random-float,builtin_mods_doc,/home/zar/claude/hyperon/hyperon-experimental/lib/src/metta/runner/builtin_mods/random.metta:9,1
